title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Mommessin Cuvee St Pierre Rouge,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/mommessin-cuvee-st-pierre-rouge-513,$8.30,/content/dam/lcbo/products/000513.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This red blend is pale ruby in colour and offers subtle cherry aromas and flavours. Light-bodied and fruity, it is consistently well-made. Soft texture along with a balanced finish makes this wine appealing, versatile and food-friendly. Serve with beef tenderloin or enjoy lightly chilled with baked salmon.",750 mL bottle,12%,France,Mommessin S.A.,3 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,,,
Folonari Valpolicella Classico DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/folonari-valpolicella-classico-doc-828,$14.80,/content/dam/lcbo/products/000828.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Valpolicella is the classic red wine of Italy's Veneto region; a blend of local grape varieties that combine to give forward fruit and a supple approachable structure. Ruby red in colour, with upfront spice and plum aromas. On the palate, expect a medium body, soft berry and plum flavours and a fresh, food-friendly finish.",750 mL bottle,12.5%,"Veneto, Italy",Folonari S.P.A.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,,,
Mouton Cadet Bordeaux Red AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/mouton-cadet-bordeaux-red-aoc-943,$17.35,/content/dam/lcbo/products/000943.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From France's leading wine family, a wine that has been the world's introduction to the Bordeaux region since 1930. Merlot is dominant, contributing forward berry fruit. Cabernet sauvignon brings structure and cabernet franc adds elegance and finesse. Serve with pork tenderloin, duck breast or a selection of cheeses.",750 mL bottle,13%,"Bordeaux, France",Baron Philippe De Rothschild S.A.,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Merlot/Cabernet Sauvignon,,,
Flat Rock Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/flat-rock-pinot-noir-1545,$22.95,/content/dam/lcbo/products/001545.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Innovative Flat Rock Cellars specializes in crafting elegant Pinot Noir. This excellent wine is a great introduction, with its flavours of raspberry, beetroot, smoked meat and spice. It works well with grilled salmon or with veal in a red wine reduction.",750 mL bottle,13%,"Ontario, Canada",Flat Rock Cellars,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,"April 1, 2021",,
Ruffino Chianti,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/ruffino-chianti-1743,$15.30,/content/dam/lcbo/products/001743.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruffino's original wine, and one of the world's most recognized Tuscan wines. The wine is extra dry, medium-bodied and well-structured. Enjoy aromas and flavours of chestnut, leather, rye bread and red berry fruit, with spicy notes and a touch of pepper.  Serve with wild boar ragu, grilled steak or roasted vegetables.",750 mL bottle,13%,"Tuscany, Italy",Ruffino S.R.L.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Chianti,,,
Pisse-Dru Beaujolais,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/pisse-dru-beaujolais-2881,$13.80,/content/dam/lcbo/products/002881.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The quirky name of this wine is an old expression describing how readily juice runs from well-ripened grapes. Its light-plus bodied, food-friendly, with appealing plum, nutty, spice and red fruit flavours and balanced, dry finish. A straightforward, juicy and reliable accompaniment for burgers, cold chicken or charcuterie.",750 mL bottle,12.5%,"Burgundy, France",Noemie Vernaux,3 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,,,
Folonari Valpolicella Classico DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/folonari-valpolicella-classico-doc-6254,$9.90,/content/dam/lcbo/products/006254.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Valpolicella is the classic red wine of Italy's Veneto region; a blend of local grape varieties that combine to give forward fruit and a supple approachable structure. Ruby red in colour, with upfront spice and plum aromas. On the palate, expect a medium body, soft berry and plum flavours and a fresh, food-friendly finish.",375 mL bottle,12.5%,"Veneto, Italy",Folonari S.P.A.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,,,
20 Bees Cabernet Merlot VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/20-bees-cabernet-merlot-vqa-6395,$12.95,/content/dam/lcbo/products/006395.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Red violet; aromas & flavours of herb, black currant & cherry; dry, medium-bodied with balanced acidity & ripe tannins.Bees are hardworking, unselfish and in tune with their environment - all qualities that would also describe Ontario winegrowers! Enjoy lifted aromas and flavours of cedar, bell pepper and black plum with herbal, leafy notes. Serve with grilled meats or a selection of local cheeses.",750 mL bottle,12.2%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,10 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,,,
KWV Roodeberg Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/kwv-roodeberg-red-7187,$12.95,/content/dam/lcbo/products/007187.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Roodeberg Red is a classic blend of cabernet, shiraz and merlot, oak aged for depth and complexity. Aromas and flavours of smoke, floral note, dark fruit accented by notes of tobacco and spice. Serve with grilled lamb, smoked brisket or firm cheeses.",750 mL bottle,14%,South Africa,Kwv Sa (Pty) Ltd.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Blend,,,
Rodet CdRhone AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/rodet-cdrhone-aoc-8979,$14.30,/content/dam/lcbo/products/008979.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Great value young ripe and fruity Rhone red. Visually it is a deep ruby colour, while on the nose there is red cherry, raspberry, anise and light spice. Palate is dry, medium bodied and balanced. Immediately appealing from the first sip, showing flavours of ripe raspberry, plum and red fruit with notes of earth and spice.",750 mL bottle,14.5%,"Rhône, France",Antonin Rodet,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Rhône,,,
