title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Blue Nun Deutscher Tafelwein,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/blue-nun-deutscher-tafelwein-729,$9.80,/content/dam/lcbo/products/000729.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This top-selling wine phenomenon is back in a new and improved style. Nose is enticingly aromatic and floral with fruity notes of pear, orange, peach and herbs. The palate has a delicate sweetness,  with luscious but balanced flavours of pear, citrus and peach. Refreshing, mineral-like acidity on the long lively finish.",750 mL bottle,9.5%,Germany,H. Sichel Sohne G.M.B.H.,29 g/L,M - Medium,Off-dry & Fruity,Blend,,,
Fontana Di Papa White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fontana-di-papa-white-1511,$15.10,/content/dam/lcbo/products/001511.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The grapes for this light and refreshing wine are grown on volcanic soils in the hills southeast of the city of Rome. A delicate and lightly fruity wine that excels as a partner for chicken, fish and light cuisine. Enjoy fresh bread, mushrooms, spice, floral and citrus flavours, with a soft minerally note on the finish.",1500 mL bottle,11%,"Lazio, Italy",Fontana Di Papa S.R.L.,7 g/L,D - Dry,Light & Crisp,Blend,,,
Flat Rock Twisted White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/flat-rock-twisted-white-1578,$17.95,/content/dam/lcbo/products/001578.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Traditional grapes with a twist. This is an off-beat blend of Riesling, Gewurztraminer and Chardonnay. Vivid pear, grapefruit, passion fruit, lime and stony mineral. Makes a great sipping wine or pair it with spicy calamari or roasted pork tenderloin.",750 mL bottle,12%,"Ontario, Canada",Flat Rock Cellars,18 g/L,D - Dry,Aromatic & Flavourful,White Blend,"April 1, 2021",,
Angels Gate Chardonnay VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/angels-gate-chardonnay-vqa-1818,$14.95,/content/dam/lcbo/products/001818.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Meticulous vineyard practices ensure optimum fruit quality, and wines that are elegant in style. Enjoy upfront flavours of yellow plum, lemon, vanilla and hazelnuts. Medium in body, and made in a refreshing style, with lively acidity and a balanced finish. Serve with poultry, fish or pasta with a creamy sauce.",750 mL bottle,13%,"Ontario, Canada",Angels Gate Winery,3 g/L,XD - Extra Dry,Aromatic & Flavourful,Chardonnay,,,
Mouton Cadet Bordeaux White AOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/mouton-cadet-bordeaux-white-aoc-2527,$16.35,/content/dam/lcbo/products/002527.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From France's leading wine family, a wine that has been the world's introduction to the Bordeaux region since 1930. A blend of sauvignon blanc, sémillon and muscadelle showing flavours of quince, vanilla, nuts and green pear with light cantaloupe note. Serve with seafood pasta, shellfish or salads.",750 mL bottle,13.5%,"Bordeaux, France",Baron Philippe De Rothschild S.A.,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc/Sémillon,,,
Aveleda Vinho Verde,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/aveleda-vinho-verde-5322,$11.80,/content/dam/lcbo/products/005322.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aveleda has been a family-owned business since the 1870s and vinho verde is their key focus. This one is pale lemon coloured with fresh lifted aromas of fresh bread, citrus, herbs and green plum and apple. Harmonious on the palate with balanced acidity and bright flavours that culminate in a zesty, slightly spritzy finish.",750 mL bottle,9.5%,"Vinho Verde, Portugal",Sociedade Agricola E. Comercial,14 g/L,D - Dry,Light & Crisp,Vinho Verde,,,
"Deinhard Green Label Riesling, Mosel",https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deinhard-green-label-riesling-mosel-8094,$11.80,/content/dam/lcbo/products/008094.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The vineyards of Germany's Mosel Valley are the source of some of the world's finest rieslings. Pouring a bright pale straw colour, Green Label has aromas of apple, melon and citrus. On the palate, it is soft with medium sweetness, balanced acidity and a minerally finish.",750 mL bottle,10%,Germany,Deinhard & Co,27 g/L,M - Medium,Off-dry & Fruity,Riesling,,,
Navip Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/navip-riesling-9548,$9.95,/content/dam/lcbo/products/009548.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Serbia's Fruska Gora wine region lies along the River Danube, and is home to some of Serbia's finest wines. This riesling is medium-bodied and floral, medium sweet and notes of caramel, grapefruit, herbs and cantaloupe. Serve with veal schnitzel, or cheese-filled pastries.",750 mL bottle,12.5%,Serbia,Navip,18 g/L,M - Medium,Aromatic & Flavourful,Riesling,,,
Moselland Bernkasteler Kurfurstlay Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/moselland-bernkasteler-kurfurstlay-riesling-15875,$11.80,/content/dam/lcbo/products/015875.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Germany's Moselland cooperative is known for excellent value in fresh and lively wines. Enjoy lifted aromas and flavours of fresh herbs, slate, honey and citrus with balanced sweetness. Serve well-chilled with seafood, Asian-inspired noodle dishes or your favourite curry.",750 mL bottle,10.5%,"Mosel, Germany",Moselland Eg,30 g/L,M - Medium,Off-dry & Fruity,Riesling,,,
Peller Family Vineyards Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/peller-family-vineyards-chardonnay-16352,$11.95,/content/dam/lcbo/products/016352.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Chardonnay is the world's most popular white wine, known for its flavours of ripe pear, hazelnuts and vanilla. Smooth and light to medium-bodied, this wine has a hint of spicy oak, and a mellow, balanced finish. Serve with roast chicken, grilled vegetables or salads.",1000 mL tetra,12%,Canada,Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Chardonnay,,,
